CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
1123157,1,網路連線問題,網路品質,-1.0
1266177,1,經銷商問題,台哥大-電訪約裝,0.0
1466,1,網路連線問題,Cable modem連線,0.0
1173518,1,網路連線問題,無法上網,-1.0
1147188,1,帳務相關,拆機挽回,0.0
1263762,1,經銷商問題,台哥大-人員進電,0.0
1259671,1,網路連線問題,連線其他相關問題,0.0
1266348,1,經銷商問題,台哥大-電訪約裝,0.0
1263909,1,網路連線問題,無法上網,-1.0
1215905,2,帳務問題,無法上網,-0.5
1161810,1,網路連線問題,無法上網,1.0
1155698,1,經銷商問題,台哥大-電訪約裝,1.0
1158428,3,經銷商問題,台哥大-電訪約裝,0.0
1229777,1,帳務相關,拆機挽回,0.0
1266099,2,經銷商問題,遠傳電信-人員進電,0.0
1086052,1,網路連線問題,網路品質,1.0
1266272,1,經銷商問題,遠傳電信-電訪約裝,0.0
1265871,1,經銷商問題,遠傳電信-電訪約裝,0.0
725068,1,網路連線問題,Cable modem連線,0.0
1266736,1,經銷商問題,台哥大-電訪約裝,0.0
820395,1,網路連線問題,網路品質,0.0
1246251,1,網路連線問題,無法上網,0.0
1188523,2,帳務問題,服務異動,0.0
854596,1,網路連線問題,無法上網,0.0
1187366,1,經銷商問題,台哥大-電訪約裝,0.0
1188686,1,帳務相關,拆機挽回,0.0
1231424,2,經銷商問題,Cable modem連線,0.0
1266002,1,經銷商問題,遠傳電信-電訪約裝,0.0
1009664,1,網路連線問題,無法上網,-1.0
1170176,1,網路連線問題,網路品質,0.0
55990,2,網路連線問題,網路品質,0.0
1265562,1,經銷商問題,遠傳電信-電訪約裝,0.0
1239948,2,經銷商問題,遠傳電信-電訪約裝,0.0
1266572,2,經銷商問題,遠傳電信-人員進電,0.0
1223604,1,網路連線問題,網路品質,-1.0
1181503,2,經銷商問題,台哥大-電訪約裝,0.5
1081759,1,網路連線問題,Cable modem連線,-1.0
116864,1,帳務問題,用戶要求優惠,0.0
823364,4,網路連線問題,Cable modem連線,-0.25
1252766,1,網路連線問題,無法上網,0.0
1265914,1,經銷商問題,遠傳電信-電訪約裝,0.0
1230115,2,網路連線問題,mac 己被註冊,-0.5
84332,1,網路連線問題,無法上網,0.0
887765,1,網路連線問題,無法上網,0.0
1157865,1,經銷商問題,台哥大-人員進電,0.0
1219902,1,網路連線問題,無法上網,0.0
1072733,1,帳務相關,拆機挽回,0.0
1015267,2,帳務相關,拆機挽回,0.0
1215337,1,註冊問題,mac 己被註冊,0.0
1239144,1,網路連線問題,無法上網,0.0
1266589,1,經銷商問題,台哥大-電訪約裝,0.0
944414,3,網路連線問題,無法上網,0.0
1171331,1,網路連線問題,Cable modem連線,-1.0
1266602,3,經銷商問題,遠傳電信-人員進電,-0.6666666666666666
1266587,3,經銷商問題,台哥大-電訪約裝,0.3333333333333333
1266792,1,經銷商問題,台哥大-電訪約裝,0.0
1230226,2,經銷商問題,網路品質,-0.5
1151573,2,帳務問題,拆機挽回,0.5
1265568,3,網路連線問題,無法上網,0.0
1265973,1,經銷商問題,遠傳電信-電訪約裝,0.0
1154730,1,網路連線問題,無法上網,-1.0
1138603,1,帳務問題,帳單/收據寄送問題,0.0
1204288,2,網路連線問題,無法上網,0.0
1094745,1,網路連線問題,無法上網,0.0
890239,1,網路連線問題,無法上網,0.0
1181678,1,非連線問題,固定Ip問題,1.0
1072193,1,網路連線問題,無法上網,0.0
1265880,1,經銷商問題,遠傳電信-電訪約裝,0.0
1047568,1,網路連線問題,Cable modem連線,0.0
683124,1,網路連線問題,無法上網,0.0
723340,1,帳務相關,拆機挽回,0.0
72645,1,帳務相關,拆機挽回,0.0
1242252,1,網路連線問題,連線其他相關問題,-1.0
1265974,1,經銷商問題,台哥大-電訪約裝,0.0
1263805,1,網路連線問題,無法上網,0.0
995322,1,網路連線問題,網路品質,0.0
1263833,1,非連線問題,升級換CM,0.0
889350,1,網路連線問題,Cable modem連線,0.0
937844,1,經銷商問題,遠傳電信-電訪約裝,0.0
1266814,1,經銷商問題,台哥大-電訪約裝,0.0
5446,1,網路連線問題,連線其他相關問題,-1.0
708857,1,帳務相關,拆機挽回,0.0
1186390,1,帳務相關,拆機挽回,0.0
1122500,2,帳務相關,拆機挽回,0.0
695268,2,帳務相關,拆機挽回,0.0
