CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
543415,2,網路連線問題,無法上網,0.0
1092684,1,網路連線問題,無法上網,0.0
1160140,2,經銷商問題,Cable modem連線,0.0
1073410,1,網路連線問題,無法上網,0.0
759414,4,網路連線問題,Cable modem連線,0.0
1169251,2,網路連線問題,無法上網,0.5
1229953,3,經銷商問題,台哥大-電訪約裝,0.0
200899,2,網路連線問題,無法上網,0.0
1107751,1,網路連線問題,連線其他相關問題,-1.0
1231627,5,經銷商問題,台哥大-電訪約裝,0.0
1133857,1,非連線問題,固定Ip問題,0.0
1225328,1,經銷商問題,遠傳電信-電訪約裝,0.0
1158212,1,網路連線問題,無法上網,0.0
1172687,3,網路連線問題,無法上網,-0.6666666666666666
1231937,5,經銷商問題,台哥大-電訪約裝,-0.2
1141323,1,網路連線問題,網路品質,0.0
472635,5,網路連線問題,無法上網,-0.4
4031,3,網路連線問題,無法上網,-0.3333333333333333
931037,1,網路連線問題,無法上網,0.0
794213,1,網路連線問題,無法上網,0.0
912447,3,帳務相關,拆機挽回,-0.3333333333333333
727665,7,網路連線問題,網路品質,1.0
767688,8,網路連線問題,無法上網,-0.25
352077,6,網路連線問題,無法上網,0.0
1232588,6,經銷商問題,台哥大-電訪約裝,0.0
756736,3,網路連線問題,無法上網,-0.6666666666666666
1231535,3,經銷商問題,台哥大-電訪約裝,-0.3333333333333333
911374,5,網路連線問題,無法上網,0.0
702955,1,網路連線問題,無法上網,1.0
1212981,1,網路連線問題,無法上網,0.0
1149766,1,網路連線問題,無法上網,0.0
957855,1,網路連線問題,無法上網,-2.0
601011,2,帳務相關,拆機挽回,0.0
152094,1,網路連線問題,無法上網,-1.0
770932,3,網路連線問題,無法上網,0.0
968416,1,網路連線問題,無法上網,-1.0
1220195,1,網路連線問題,無法上網,-1.0
874199,4,網路連線問題,無法上網,0.0
1153160,3,網路連線問題,網路品質,-0.3333333333333333
617310,4,網路連線問題,無法上網,-0.5
763038,2,帳務相關,拆機挽回,-0.5
1219385,1,網路連線問題,無法上網,0.0
625468,1,網路連線問題,無法上網,0.0
579073,3,網路連線問題,無法上網,0.6666666666666666
737418,1,網路連線問題,無法上網,0.0
851796,1,帳務相關,拆機挽回,0.0
851797,1,帳務相關,拆機挽回,0.0
851798,1,帳務相關,拆機挽回,0.0
761074,4,帳務相關,拆機挽回,0.0
851801,1,帳務相關,拆機挽回,0.0
851802,1,帳務相關,拆機挽回,0.0
851803,1,帳務相關,拆機挽回,0.0
851804,1,帳務相關,拆機挽回,0.0
851807,1,帳務相關,拆機挽回,0.0
851808,1,帳務相關,拆機挽回,0.0
87709,1,網路連線問題,無法上網,1.0
572023,1,網路連線問題,無法上網,0.0
1157441,5,經銷商問題,台哥大-電訪約裝,0.0
1231682,5,經銷商問題,遠傳電信-電訪約裝,0.2
1021584,3,經銷商問題,台灣之星-電訪約裝,0.3333333333333333
1232579,1,經銷商問題,遠傳電信-電訪約裝,0.0
885252,1,網路連線問題,無法上網,1.0
1230230,2,經銷商問題,遠傳電信-電訪約裝,0.5
703608,4,網路連線問題,無法上網,-0.25
105001,4,帳務問題,用戶退租,0.25
1077592,1,帳務相關,拆機挽回,-1.0
1105859,1,帳務問題,繳費相關問題,0.0
1168195,3,網路連線問題,網路品質,-0.6666666666666666
250495,1,帳務相關,拆機挽回,0.0
135070,2,帳務相關,拆機挽回,-1.0
1231948,4,經銷商問題,遠傳電信-電訪約裝,-0.25
1232684,1,經銷商問題,台哥大-電訪約裝,0.0
1232344,2,經銷商問題,遠傳電信-電訪約裝,0.5
1229943,1,網路連線問題,網路品質,1.0
1232431,3,經銷商問題,台哥大-電訪約裝,0.3333333333333333
1232681,1,經銷商問題,台哥大-電訪約裝,0.0
1232173,2,經銷商問題,台哥大-電訪約裝,0.5
1232053,2,經銷商問題,遠傳電信-電訪約裝,0.5
1193990,1,經銷商問題,台哥大-電訪約裝,0.0
1091204,1,經銷商問題,台哥大-人員進電,1.0
1104630,1,經銷商問題,台哥大-人員進電,0.0
757171,3,網路連線問題,拆機挽回,0.6666666666666666
1090832,3,網路連線問題,無法上網,-0.3333333333333333
1173851,1,帳務相關,拆機挽回,0.0
284381,1,帳務相關,拆機挽回,0.0
596513,4,網路連線問題,無法上網,-0.25
895761,9,網路連線問題,無法上網,-0.2222222222222222
1144364,10,經銷商問題,台哥大-人員進電,-1.9
1230464,3,經銷商問題,台哥大-電訪約裝,0.3333333333333333
1140867,1,網路連線問題,無法上網,-1.0
778849,1,帳務相關,拆機挽回,0.0
517215,2,網路連線問題,Cable modem連線,0.0
725615,2,帳務問題,拆機挽回,0.0
582675,1,非連線問題,補收證件,0.0
966201,2,網路連線問題,無法上網,0.0
1223781,1,經銷商問題,台哥大-電訪約裝,0.0
335059,1,網路連線問題,連線其他相關問題,1.0
1095899,3,網路連線問題,無法上網,-0.3333333333333333
969839,3,帳務相關,拆機挽回,-1.3333333333333333
374344,2,網路連線問題,無法上網,-1.0
816317,1,網路連線問題,無法上網,0.0
410649,1,帳務相關,拆機挽回,0.0
24667,1,網路連線問題,網路品質,-1.0
762249,3,網路連線問題,網路品質,0.0
654291,1,網路連線問題,無法上網,-1.0
787933,1,網路連線問題,網路品質,0.0
1059322,1,網路連線問題,網路品質,-1.0
1194374,1,網路連線問題,網路品質,0.0
1136486,2,帳務問題,無法上網,0.0
1071984,1,網路連線問題,Cable modem連線,-1.0
679818,3,網路連線問題,Cable modem連線,-0.3333333333333333
932465,1,網路連線問題,網路品質,0.0
104948,1,帳務問題,頻寬方案費率,0.0
1229427,7,經銷商問題,遠傳電信-電訪約裝,0.0
784922,2,網路連線問題,無法上網,0.5
1230140,7,網路連線問題,Cable modem連線,-0.5714285714285714
1191188,1,網路連線問題,遊戲連線,0.0
1138827,2,網路連線問題,無法上網,0.5
1169033,3,經銷商問題,台哥大-電訪約裝,0.3333333333333333
1230148,1,經銷商問題,台哥大-電訪約裝,0.0
800036,1,帳務問題,用戶退租,0.0
1187525,1,帳務問題,繳費相關問題,0.0
719077,1,網路連線問題,無法上網,-1.0
686225,4,網路連線問題,Cable modem連線,0.25
826627,3,網路連線問題,無法上網,0.6666666666666666
409244,1,網路連線問題,無法上網,0.0
180605,4,網路連線問題,無法上網,0.25
1159191,2,網路連線問題,無法上網,0.0
1185951,2,經銷商問題,台哥大-電訪約裝,0.0
992888,2,網路連線問題,無法上網,0.0
708209,1,網路連線問題,無法上網,-1.0
847728,4,帳務問題,Cable modem連線,0.25
1167265,3,網路連線問題,網路品質,0.0
1099710,3,網路連線問題,無法上網,0.0
1210269,1,網路連線問題,無法上網,-1.0
1091824,2,網路連線問題,無法上網,-0.5
1183357,3,網路連線問題,無法上網,-0.3333333333333333
1014984,3,網路連線問題,網路品質,0.3333333333333333
1159347,1,網路連線問題,網路品質,0.0
1205391,5,網路連線問題,無法上網,-0.4
784167,2,網路連線問題,無法上網,0.0
1191629,1,網路連線問題,網路品質,-1.0
1228172,1,網路連線問題,網路品質,-1.0
1230411,2,經銷商問題,遠傳電信-電訪約裝,0.0
1200289,1,網路連線問題,無法上網,0.0
1230981,1,經銷商問題,台哥大-電訪約裝,0.0
112869,1,網路連線問題,連線其他相關問題,0.0
1230984,2,經銷商問題,台哥大-電訪約裝,0.5
978796,1,網路連線問題,無法上網,0.0
707353,1,網路連線問題,無法上網,0.0
1070954,5,網路連線問題,網路品質,0.0
317132,7,網路連線問題,無法上網,-0.2857142857142857
1228100,2,經銷商問題,台哥大-電訪約裝,0.5
549307,4,網路連線問題,無法上網,-0.5
851705,4,網路連線問題,無法上網,0.0
302029,1,網路連線問題,無法上網,-1.0
1193160,1,帳務問題,帳單/收據寄送問題,0.0
787611,1,經銷商問題,台哥大-電訪約裝,0.0
1171645,1,網路連線問題,無法上網,0.0
1231885,5,經銷商問題,台灣之星-電訪約裝,0.0
1224097,7,經銷商問題,遠傳電信-電訪約裝,0.0
1152752,5,網路連線問題,台哥大-電訪約裝,0.0
1211543,3,網路連線問題,無法上網,-0.3333333333333333
