客編,平均繳款延遲日數,paytype_1,paytype_3,paytype_6,paytype_12,paytype_15,paytype_99,paymethod_APP臨櫃代收(7-11),paymethod_CVS臨櫃代收(7-11),paymethod_信用卡扣款,paymethod_其他繳款方式,paymethod_廠商代收,paymethod_當月繳帳單,paymethod_簡訊帳單臨櫃代收(7-11),paymethod_金融機構轉帳
1097862,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
169488,17.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
189540,-29.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1182655,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
718487,-28.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
664502,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
700970,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
376124,-54.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
999323,-28.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
886415,-6.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,1,0
719860,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7405,1.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1101350,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
779398,-22.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
339373,-9.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
374998,-14.666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0
545753,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1099767,-36.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
847793,-21.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
193771,-14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
200118,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1075779,-10.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
314442,22.666666666666668,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1058793,12.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
179015,13.42,0,0,1,0,0,0,0,1,0,0,0,0,0,0
492354,-12.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
282470,-21.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1061897,11.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
709860,13.42,0,0,0,0,0,1,0,0,0,0,0,0,1,0
210779,12.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
698139,-10.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
946514,-6.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
449905,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
743540,-28.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
62714,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
175927,-4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
213960,-25.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
576797,8.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
154166,12.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
399778,13.42,0,0,0,1,0,0,0,0,0,0,0,0,1,0
662390,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
407104,-10.333333333333334,0,0,0,0,0,1,0,1,0,0,0,0,0,0
286898,-16.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
93582,8.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
910690,-27.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
308226,-8.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
324116,8.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
322779,-27.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1164289,-25.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
751748,-6.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
630432,-16.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1123300,-35.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
140412,-7.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
548616,3.1666666666666665,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1060914,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
294185,10.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
