客編,平均繳款延遲日數,paytype_1,paytype_3,paytype_6,paytype_12,paytype_15,paytype_99,paymethod_APP臨櫃代收(7-11),paymethod_CVS臨櫃代收(7-11),paymethod_信用卡扣款,paymethod_其他繳款方式,paymethod_廠商代收,paymethod_當月繳帳單,paymethod_簡訊帳單臨櫃代收(7-11),paymethod_金融機構轉帳
810995,-23.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1131779,-29.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
920301,-25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1153067,-32.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
794375,-31.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
684287,-6.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
688249,-5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1161504,-19.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
689976,-12.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1095316,-12.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0
815053,-28.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
696284,-6.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1066650,-27.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
696401,-26.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
700877,-14.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1131882,-37.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
707469,-11.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
709462,-29.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
721818,-32.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
723700,-7.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
856729,-19.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
709576,-3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
713539,-19.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
718944,-8.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
728957,-4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
919086,-31.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1098342,-7.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1062529,-11.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
976343,-32.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
901300,-21.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
911387,-17.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1115459,-11.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1123963,-18.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
746990,-30.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
755461,-19.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
236489,-18.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1118187,-33.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1161316,-7.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
761651,-3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
184972,-31.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1116013,-21.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1116426,-24.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1116784,-24.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
775708,-4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
782479,-15.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1161714,-18.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
909444,-11.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
994325,-39.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
765495,-28.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
784584,-40.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
787466,-17.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
